Country,ActionWater,WaterType,Class_cane,Epidemic,YieldOldGrade,Type_Cane,GrooveWide,FertilizerType,TypeSoil,Fertilizer,TargetOldGrade,Area_Remain,ContractsArea,YieldGrade,FarmerContractGrade,TargetGrade,Rain_Avg,Yield_Category,YearBin
Pakistan,Water pour,Groundwater,2nd ratoon cane,Preemergent,Grade 2,LK92-11,150 cm,Organic,Ferus soil,25-7-7,Grade 1,74.97,400.71,Grade 1,C,Grade 3,2050.46,Low,1990s
India,Water pour,Natural canal,1st ratoon cane,Preemergent,Grade 1,K84-200,130 cm,Chemical,Ferus soil,25-7-7,Grade 3,8.33,244.48,Grade 3,A,Grade 1,1497.12,High,2010s
Sri Lanka,Water pour,Rain,1st ratoon cane,Herbicide,Grade 2,K99-72,130 cm,Chemical,Ferus soil,16-16-16,Grade 1,87.92,105.79,Grade 2,A,Grade 1,2299.58,High,2010s
Sri Lanka,Water pour,Rain,3rd ratoon cane,Herbicide,Grade 2,LK92-11,150 cm,Chemical,Silty clay,16-16-16,Grade 1,26.81,188.58,Grade 1,C,Grade 3,688.57,Low,1980s
Bangladesh,Water pour,Rain,2nd ratoon cane,Preemergent,Grade 3,K99-72,120 cm,Chemical,Loam,15-15-15,Grade 1,89.59,414.55,Grade 3,B,Grade 2,2313.49,High,1990s
Bangladesh,Water pour,Natural canal,3rd ratoon cane,Preemergent,Grade 1,Khonkean3,130 cm,Chemical,Silty clay,46-0-0,Grade 2,53.82,333.89,Grade 3,B,Grade 1,1393.01,Low,2010s
Nepal,Rain,Rain,2nd ratoon cane,Preemergent,Grade 2,Khonkean3,130 cm,Chemical,Silty clay,15-15-15,Grade 1,82.9,206.75,Grade 3,C,Grade 1,615.1,Low,1970s
Pakistan,Water pour,Groundwater,1st ratoon cane,Herbicide,Grade 3,K84-200,150 cm,Organic,Silty clay,25-7-7,Grade 2,50.95,178.33,Grade 2,A,Grade 3,2902.49,Low,1980s
India,Water pour,Groundwater,3rd ratoon cane,Herbicide,Grade 1,K84-200,130 cm,Organic,Silty clay,16-16-16,Grade 2,22.11,118.74,Grade 1,A,Grade 1,2885.1,Low,1980s
Bangladesh,Rain,Rain,3rd ratoon cane,Preemergent,Grade 2,K84-200,140 cm,Organic,Loam,46-0-0,Grade 3,39.2,411.13,Grade 3,C,Grade 2,2686.22,Low,2010s
Sri Lanka,Rain,Groundwater,2nd ratoon cane,Herbicide,Grade 3,K99-72,140 cm,Organic,Loam,15-15-15,Grade 3,23.72,252.73,Grade 2,A,Grade 1,1048.14,High,1990s
India,Rain,Natural canal,3rd ratoon cane,Preemergent,Grade 2,Khonkean3,140 cm,Organic,Silty clay,46-0-0,Grade 2,96.37,115.48,Grade 1,B,Grade 1,2895.95,High,1980s
India,Rain,Natural canal,2nd ratoon cane,Preemergent,Grade 1,LK92-11,140 cm,Chemical,Silty clay,46-0-0,Grade 2,88.15,325.58,Grade 3,C,Grade 2,2312.08,High,2000s
India,Water pour,Rain,3rd ratoon cane,Herbicide,Grade 3,K99-72,130 cm,Chemical,Silty clay,46-0-0,Grade 1,12.29,125.64,Grade 1,B,Grade 2,2365.15,High,1980s
Pakistan,Rain,Groundwater,1st ratoon cane,Preemergent,Grade 1,K99-72,140 cm,Chemical,Silty clay,16-16-16,Grade 2,40.3,129.88,Grade 1,B,Grade 1,1006.31,High,2000s
Sri Lanka,Rain,Rain,3rd ratoon cane,Preemergent,Grade 1,K99-72,130 cm,Chemical,Ferus soil,25-7-7,Grade 2,37.85,305.03,Grade 3,A,Grade 3,564.36,Low,2000s
Bangladesh,Water pour,Natural canal,1st ratoon cane,Preemergent,Grade 1,LK92-11,150 cm,Organic,Loam,25-7-7,Grade 2,86.91,66.98,Grade 2,C,Grade 2,1583.3,Low,1980s
Bangladesh,Rain,Groundwater,1st ratoon cane,Preemergent,Grade 3,Khonkean3,140 cm,Chemical,Silty clay,46-0-0,Grade 3,66.01,339.82,Grade 2,C,Grade 2,1224.08,Low,1980s
India,Rain,Natural canal,2nd ratoon cane,Preemergent,Grade 3,K84-200,140 cm,Chemical,Ferus soil,46-0-0,Grade 2,33.53,76.26,Grade 1,A,Grade 1,785.53,Low,1990s
Pakistan,Rain,Natural canal,2nd ratoon cane,Herbicide,Grade 1,Khonkean3,140 cm,Organic,Loam,16-16-16,Grade 2,10.5,331.51,Grade 3,C,Grade 1,1556.72,High,2020s
India,Water pour,Natural canal,2nd ratoon cane,Herbicide,Grade 3,LK92-11,140 cm,Chemical,Loam,15-15-15,Grade 2,72.82,338.49,Grade 1,B,Grade 2,2311.29,Low,1970s
Nepal,Water pour,Rain,3rd ratoon cane,Herbicide,Grade 1,Khonkean3,150 cm,Chemical,Silty clay,25-7-7,Grade 2,95.85,17.74,Grade 1,A,Grade 3,1169.44,High,2000s
Bangladesh,Water pour,Rain,2nd ratoon cane,Preemergent,Grade 1,K84-200,130 cm,Organic,Silty clay,15-15-15,Grade 3,80.95,244.34,Grade 2,A,Grade 1,2953.3,High,2010s
Sri Lanka,Water pour,Rain,2nd ratoon cane,Herbicide,Grade 1,K99-72,140 cm,Chemical,Silty clay,16-16-16,Grade 3,57.11,320.75,Grade 3,A,Grade 1,2324.33,Low,2010s
India,Water pour,Rain,1st ratoon cane,Herbicide,Grade 1,LK92-11,130 cm,Chemical,Loam,25-7-7,Grade 1,16.37,85.06,Grade 1,A,Grade 1,1518.96,High,1990s
Nepal,Rain,Rain,2nd ratoon cane,Herbicide,Grade 2,LK92-11,140 cm,Organic,Loam,16-16-16,Grade 1,82.14,45.76,Grade 1,B,Grade 3,1237.63,Low,2010s
India,Water pour,Groundwater,2nd ratoon cane,Herbicide,Grade 2,Khonkean3,140 cm,Organic,Silty clay,25-7-7,Grade 2,59.46,464.11,Grade 3,B,Grade 1,2725.91,High,2010s
Sri Lanka,Rain,Rain,2nd ratoon cane,Herbicide,Grade 1,K99-72,140 cm,Organic,Silty clay,15-15-15,Grade 1,18.77,230.47,Grade 2,A,Grade 2,2955.45,High,2000s
India,Rain,Rain,1st ratoon cane,Preemergent,Grade 1,K84-200,130 cm,Organic,Loam,46-0-0,Grade 1,43.47,374.5,Grade 1,C,Grade 1,1540.09,High,1970s
Nepal,Rain,Groundwater,1st ratoon cane,Herbicide,Grade 2,K99-72,150 cm,Chemical,Ferus soil,16-16-16,Grade 3,93.57,226.92,Grade 2,A,Grade 3,1997.92,Low,1990s
India,Water pour,Natural canal,3rd ratoon cane,Herbicide,Grade 3,LK92-11,140 cm,Organic,Loam,46-0-0,Grade 3,85.94,11.32,Grade 3,A,Grade 1,2963.25,Low,1970s
India,Water pour,Rain,2nd ratoon cane,Herbicide,Grade 3,LK92-11,140 cm,Chemical,Loam,25-7-7,Grade 3,55.7,258.74,Grade 1,C,Grade 1,536.79,Low,1990s
Sri Lanka,Rain,Groundwater,2nd ratoon cane,Herbicide,Grade 3,LK92-11,130 cm,Organic,Loam,15-15-15,Grade 1,60.48,274.33,Grade 1,C,Grade 2,2782.47,Low,2000s
Bangladesh,Rain,Natural canal,3rd ratoon cane,Preemergent,Grade 1,K84-200,120 cm,Chemical,Silty clay,16-16-16,Grade 1,56.1,366.09,Grade 3,B,Grade 3,2856.65,Low,2000s
Nepal,Rain,Rain,2nd ratoon cane,Preemergent,Grade 2,LK92-11,130 cm,Chemical,Silty clay,25-7-7,Grade 1,88.83,378.76,Grade 3,B,Grade 1,1867.31,Low,2010s
Pakistan,Water pour,Rain,3rd ratoon cane,Preemergent,Grade 3,K99-72,130 cm,Chemical,Silty clay,15-15-15,Grade 2,48.11,145.92,Grade 2,A,Grade 3,2778.64,High,2010s
Sri Lanka,Rain,Groundwater,3rd ratoon cane,Preemergent,Grade 3,K84-200,140 cm,Chemical,Ferus soil,16-16-16,Grade 3,29.63,204.32,Grade 2,A,Grade 2,1201.37,Low,2000s
Bangladesh,Rain,Natural canal,3rd ratoon cane,Preemergent,Grade 2,K99-72,130 cm,Organic,Silty clay,46-0-0,Grade 2,60.7,268.75,Grade 1,A,Grade 2,2164.33,High,1990s
Bangladesh,Water pour,Rain,1st ratoon cane,Herbicide,Grade 2,K84-200,140 cm,Organic,Ferus soil,25-7-7,Grade 3,29.32,55.63,Grade 3,C,Grade 1,1387.6,Low,2010s
Nepal,Rain,Rain,1st ratoon cane,Preemergent,Grade 3,Khonkean3,130 cm,Chemical,Loam,46-0-0,Grade 1,76.33,230.44,Grade 2,A,Grade 3,1260.82,High,2000s
Nepal,Water pour,Natural canal,1st ratoon cane,Preemergent,Grade 1,LK92-11,150 cm,Chemical,Loam,46-0-0,Grade 1,74.28,217.55,Grade 3,A,Grade 3,2284.95,Low,1980s
Bangladesh,Rain,Rain,3rd ratoon cane,Preemergent,Grade 1,K84-200,130 cm,Chemical,Ferus soil,46-0-0,Grade 1,7.83,272.9,Grade 2,A,Grade 3,1310.78,High,1970s
Nepal,Water pour,Natural canal,1st ratoon cane,Preemergent,Grade 3,LK92-11,140 cm,Chemical,Ferus soil,25-7-7,Grade 1,43.76,497.45,Grade 3,A,Grade 3,2364.21,High,1990s
Pakistan,Rain,Rain,3rd ratoon cane,Preemergent,Grade 1,LK92-11,130 cm,Chemical,Ferus soil,25-7-7,Grade 3,79.21,254.09,Grade 3,C,Grade 3,1152.95,High,1980s
Bangladesh,Rain,Groundwater,1st ratoon cane,Preemergent,Grade 1,LK92-11,130 cm,Organic,Loam,16-16-16,Grade 2,67.24,479.18,Grade 2,C,Grade 1,1496.85,Low,2020s
Bangladesh,Water pour,Groundwater,3rd ratoon cane,Preemergent,Grade 3,K99-72,130 cm,Organic,Silty clay,25-7-7,Grade 2,96.25,139.11,Grade 3,C,Grade 2,1569.81,Low,1990s
Bangladesh,Rain,Groundwater,1st ratoon cane,Preemergent,Grade 1,K99-72,150 cm,Chemical,Loam,16-16-16,Grade 3,17.5,362.9,Grade 3,A,Grade 3,587.9,Low,2010s
Bangladesh,Rain,Rain,3rd ratoon cane,Preemergent,Grade 1,LK92-11,130 cm,Organic,Ferus soil,46-0-0,Grade 3,62.43,464.34,Grade 3,A,Grade 1,826.31,Low,1970s
India,Rain,Natural canal,1st ratoon cane,Herbicide,Grade 3,LK92-11,150 cm,Chemical,Silty clay,15-15-15,Grade 3,60.04,129.21,Grade 2,C,Grade 3,1373.25,Low,2010s
Nepal,Water pour,Rain,3rd ratoon cane,Preemergent,Grade 2,K99-72,140 cm,Organic,Loam,15-15-15,Grade 1,20.62,132.87,Grade 1,A,Grade 3,1421.88,Low,1970s
Bangladesh,Rain,Natural canal,1st ratoon cane,Herbicide,Grade 3,K84-200,140 cm,Organic,Ferus soil,16-16-16,Grade 3,36.81,170.57,Grade 1,B,Grade 3,1509.82,High,1990s
Sri Lanka,Rain,Groundwater,1st ratoon cane,Preemergent,Grade 3,K84-200,140 cm,Organic,Silty clay,25-7-7,Grade 3,15.82,359.67,Grade 3,B,Grade 2,1832.21,Low,1980s
Bangladesh,Rain,Natural canal,2nd ratoon cane,Herbicide,Grade 1,Khonkean3,140 cm,Organic,Silty clay,25-7-7,Grade 3,56.18,28.67,Grade 2,C,Grade 3,2906.82,Low,2000s
Pakistan,Rain,Groundwater,2nd ratoon cane,Herbicide,Grade 2,K99-72,150 cm,Chemical,Ferus soil,16-16-16,Grade 2,19.79,143.77,Grade 1,B,Grade 1,2185.42,High,2000s
Nepal,Water pour,Groundwater,2nd ratoon cane,Herbicide,Grade 3,Khonkean3,140 cm,Chemical,Loam,25-7-7,Grade 1,58.7,193.9,Grade 1,C,Grade 1,1548.6,High,1970s
Pakistan,Water pour,Natural canal,1st ratoon cane,Herbicide,Grade 3,K99-72,150 cm,Organic,Ferus soil,16-16-16,Grade 2,29.19,316.99,Grade 2,C,Grade 1,2377.39,High,2020s
Pakistan,Rain,Rain,1st ratoon cane,Herbicide,Grade 2,LK92-11,140 cm,Organic,Silty clay,15-15-15,Grade 2,77.3,16.42,Grade 3,B,Grade 2,2478.04,Low,1980s
Nepal,Rain,Rain,3rd ratoon cane,Herbicide,Grade 3,Khonkean3,130 cm,Chemical,Ferus soil,25-7-7,Grade 1,81.7,67.41,Grade 2,A,Grade 2,637.99,Low,2010s
Nepal,Water pour,Natural canal,3rd ratoon cane,Herbicide,Grade 2,K84-200,150 cm,Organic,Loam,15-15-15,Grade 1,95.56,284.05,Grade 1,C,Grade 1,1060.69,High,2000s
Pakistan,Water pour,Groundwater,3rd ratoon cane,Herbicide,Grade 3,Khonkean3,130 cm,Organic,Silty clay,25-7-7,Grade 1,94.94,453.52,Grade 3,C,Grade 1,2945.35,Low,1970s
Pakistan,Rain,Rain,3rd ratoon cane,Herbicide,Grade 3,LK92-11,130 cm,Chemical,Ferus soil,46-0-0,Grade 1,63.55,260.6,Grade 3,A,Grade 2,2971.69,High,1980s
Nepal,Water pour,Groundwater,2nd ratoon cane,Preemergent,Grade 2,K99-72,120 cm,Chemical,Loam,16-16-16,Grade 2,43.25,221.91,Grade 2,C,Grade 2,1424.25,High,2020s
Nepal,Rain,Natural canal,1st ratoon cane,Preemergent,Grade 2,K99-72,130 cm,Chemical,Ferus soil,46-0-0,Grade 3,20.45,100.6,Grade 2,A,Grade 1,2184.69,Low,1980s
India,Rain,Natural canal,2nd ratoon cane,Herbicide,Grade 3,LK92-11,120 cm,Chemical,Loam,15-15-15,Grade 3,47.53,89.19,Grade 1,C,Grade 2,2420.02,High,1980s
Bangladesh,Water pour,Rain,2nd ratoon cane,Preemergent,Grade 2,K99-72,130 cm,Organic,Loam,46-0-0,Grade 3,59.47,88.97,Grade 1,B,Grade 2,1446.94,Low,1980s
Sri Lanka,Water pour,Groundwater,2nd ratoon cane,Herbicide,Grade 1,Khonkean3,150 cm,Chemical,Loam,46-0-0,Grade 2,57.02,243.34,Grade 2,C,Grade 3,2178.47,Low,2000s
Sri Lanka,Water pour,Groundwater,1st ratoon cane,Preemergent,Grade 2,LK92-11,150 cm,Chemical,Silty clay,25-7-7,Grade 2,85.19,21.85,Grade 3,C,Grade 2,1105.44,Low,1990s
Pakistan,Water pour,Rain,3rd ratoon cane,Preemergent,Grade 2,Khonkean3,140 cm,Organic,Loam,25-7-7,Grade 1,79.76,90.29,Grade 1,C,Grade 2,2553.23,Low,2010s
India,Rain,Rain,3rd ratoon cane,Herbicide,Grade 1,K99-72,140 cm,Organic,Silty clay,25-7-7,Grade 2,42.23,192.81,Grade 1,B,Grade 1,1132.58,Low,2000s
India,Water pour,Natural canal,1st ratoon cane,Herbicide,Grade 1,K84-200,130 cm,Organic,Silty clay,15-15-15,Grade 1,39.2,454.2,Grade 1,C,Grade 2,2089.8,High,1970s
Bangladesh,Water pour,Rain,2nd ratoon cane,Preemergent,Grade 2,LK92-11,120 cm,Organic,Ferus soil,15-15-15,Grade 1,18.62,393.69,Grade 1,A,Grade 1,1216.62,High,1990s
India,Rain,Rain,2nd ratoon cane,Herbicide,Grade 3,K99-72,140 cm,Chemical,Silty clay,15-15-15,Grade 2,76.12,240.78,Grade 3,A,Grade 2,1827.31,Low,2000s
Nepal,Rain,Groundwater,1st ratoon cane,Preemergent,Grade 1,K99-72,130 cm,Chemical,Silty clay,25-7-7,Grade 1,13.92,327.85,Grade 1,C,Grade 3,1303.18,Low,1990s
Pakistan,Rain,Groundwater,3rd ratoon cane,Preemergent,Grade 2,K99-72,130 cm,Chemical,Loam,46-0-0,Grade 3,54.67,212.19,Grade 3,B,Grade 2,2054.16,High,2000s
Bangladesh,Water pour,Rain,1st ratoon cane,Herbicide,Grade 2,K84-200,150 cm,Chemical,Silty clay,46-0-0,Grade 3,70.87,235.59,Grade 3,A,Grade 1,1410.39,High,1990s
Nepal,Rain,Natural canal,2nd ratoon cane,Preemergent,Grade 1,K99-72,150 cm,Chemical,Ferus soil,16-16-16,Grade 1,14.25,129.11,Grade 3,A,Grade 1,2765.01,High,2000s
Sri Lanka,Rain,Groundwater,2nd ratoon cane,Herbicide,Grade 3,Khonkean3,140 cm,Organic,Silty clay,16-16-16,Grade 2,48.93,186.24,Grade 2,B,Grade 2,857.96,Low,2010s
Sri Lanka,Rain,Natural canal,1st ratoon cane,Herbicide,Grade 3,Khonkean3,120 cm,Organic,Silty clay,46-0-0,Grade 3,56.63,462.28,Grade 3,A,Grade 1,953.81,High,2000s
Nepal,Rain,Groundwater,3rd ratoon cane,Herbicide,Grade 3,Khonkean3,120 cm,Chemical,Ferus soil,46-0-0,Grade 3,69.13,149.65,Grade 2,A,Grade 1,663.58,High,2010s
Bangladesh,Water pour,Natural canal,1st ratoon cane,Preemergent,Grade 1,K99-72,120 cm,Chemical,Loam,46-0-0,Grade 3,9.03,408.08,Grade 3,A,Grade 3,2860.83,Low,2000s
Pakistan,Water pour,Rain,2nd ratoon cane,Preemergent,Grade 1,K84-200,150 cm,Chemical,Ferus soil,46-0-0,Grade 1,38.32,476.48,Grade 3,B,Grade 2,2314.69,High,2020s
Nepal,Rain,Groundwater,3rd ratoon cane,Preemergent,Grade 2,Khonkean3,140 cm,Chemical,Ferus soil,46-0-0,Grade 3,26.25,333.66,Grade 1,B,Grade 3,2300.98,Low,1980s
Sri Lanka,Rain,Rain,2nd ratoon cane,Preemergent,Grade 3,LK92-11,150 cm,Organic,Loam,16-16-16,Grade 1,59.66,242.18,Grade 2,C,Grade 2,532.87,High,2020s
Pakistan,Rain,Groundwater,3rd ratoon cane,Preemergent,Grade 1,K84-200,140 cm,Chemical,Loam,15-15-15,Grade 1,43.2,230.54,Grade 3,C,Grade 2,2225.67,High,1980s
Bangladesh,Water pour,Natural canal,3rd ratoon cane,Preemergent,Grade 3,K84-200,130 cm,Chemical,Loam,46-0-0,Grade 3,84.62,114.81,Grade 1,A,Grade 3,1675.2,Low,2010s
Bangladesh,Water pour,Groundwater,2nd ratoon cane,Preemergent,Grade 1,K99-72,130 cm,Chemical,Loam,16-16-16,Grade 1,12.86,145.59,Grade 3,C,Grade 3,596.22,High,1990s
India,Water pour,Groundwater,1st ratoon cane,Herbicide,Grade 1,K84-200,120 cm,Organic,Loam,46-0-0,Grade 1,16.59,153.07,Grade 2,B,Grade 1,1237.93,Low,2020s
Sri Lanka,Water pour,Rain,2nd ratoon cane,Preemergent,Grade 1,LK92-11,120 cm,Organic,Ferus soil,15-15-15,Grade 2,33.36,141.26,Grade 3,C,Grade 1,2525.83,Low,1990s
India,Water pour,Groundwater,1st ratoon cane,Preemergent,Grade 3,LK92-11,140 cm,Organic,Ferus soil,46-0-0,Grade 1,72.36,263.53,Grade 2,A,Grade 1,1785.73,Low,1990s
Nepal,Rain,Groundwater,3rd ratoon cane,Preemergent,Grade 2,Khonkean3,120 cm,Chemical,Silty clay,46-0-0,Grade 2,39.32,213.89,Grade 1,C,Grade 3,764.18,High,2020s
Sri Lanka,Water pour,Rain,3rd ratoon cane,Herbicide,Grade 1,K99-72,150 cm,Organic,Ferus soil,15-15-15,Grade 3,82.62,65.06,Grade 2,B,Grade 2,2756.09,Low,1970s
Nepal,Rain,Groundwater,3rd ratoon cane,Herbicide,Grade 2,LK92-11,130 cm,Organic,Silty clay,16-16-16,Grade 2,95.92,144.92,Grade 1,A,Grade 3,1668.78,Low,1980s
Sri Lanka,Water pour,Natural canal,2nd ratoon cane,Preemergent,Grade 3,K84-200,130 cm,Organic,Loam,46-0-0,Grade 2,58.48,44.93,Grade 3,B,Grade 1,2130.22,High,2000s
Pakistan,Rain,Rain,2nd ratoon cane,Herbicide,Grade 3,Khonkean3,120 cm,Organic,Ferus soil,15-15-15,Grade 2,90.37,404.1,Grade 3,B,Grade 1,1636.94,High,1990s
Pakistan,Rain,Rain,1st ratoon cane,Preemergent,Grade 2,K84-200,130 cm,Chemical,Silty clay,16-16-16,Grade 3,49.25,497.73,Grade 3,B,Grade 2,518.53,Low,2000s
Bangladesh,Rain,Rain,1st ratoon cane,Preemergent,Grade 2,K99-72,140 cm,Organic,Ferus soil,25-7-7,Grade 1,75.89,114.12,Grade 2,B,Grade 2,2995.11,Low,2010s
Nepal,Rain,Natural canal,3rd ratoon cane,Preemergent,Grade 3,K99-72,120 cm,Chemical,Loam,46-0-0,Grade 1,65.58,418.17,Grade 2,A,Grade 2,691.04,High,1980s
Bangladesh,Water pour,Rain,3rd ratoon cane,Herbicide,Grade 1,Khonkean3,150 cm,Chemical,Silty clay,16-16-16,Grade 1,26.45,106.27,Grade 1,B,Grade 1,1047.33,Low,1990s
Sri Lanka,Rain,Natural canal,3rd ratoon cane,Preemergent,Grade 3,LK92-11,120 cm,Chemical,Ferus soil,15-15-15,Grade 2,41.26,148.68,Grade 3,C,Grade 2,1164.04,Low,1980s
Pakistan,Rain,Rain,3rd ratoon cane,Herbicide,Grade 2,K99-72,150 cm,Organic,Silty clay,15-15-15,Grade 2,15.03,320.52,Grade 1,C,Grade 3,2650.84,Low,2010s
Bangladesh,Water pour,Natural canal,2nd ratoon cane,Herbicide,Grade 1,K84-200,120 cm,Organic,Loam,46-0-0,Grade 1,81.64,193.57,Grade 2,C,Grade 1,2785.98,High,1980s
Bangladesh,Water pour,Natural canal,1st ratoon cane,Preemergent,Grade 1,Khonkean3,140 cm,Chemical,Ferus soil,15-15-15,Grade 1,77.59,376.43,Grade 3,A,Grade 1,2092.83,Low,2020s
Bangladesh,Rain,Groundwater,2nd ratoon cane,Preemergent,Grade 2,K84-200,150 cm,Chemical,Ferus soil,15-15-15,Grade 1,43.89,17.4,Grade 1,A,Grade 3,535.92,Low,1970s
Bangladesh,Water pour,Rain,2nd ratoon cane,Preemergent,Grade 1,K99-72,120 cm,Organic,Loam,25-7-7,Grade 2,22.93,438.76,Grade 1,B,Grade 1,1117.72,High,2000s
Pakistan,Water pour,Natural canal,3rd ratoon cane,Herbicide,Grade 3,K99-72,130 cm,Organic,Loam,16-16-16,Grade 2,53.76,473.0,Grade 1,A,Grade 3,1956.66,Low,1980s
Nepal,Water pour,Natural canal,3rd ratoon cane,Preemergent,Grade 2,K84-200,130 cm,Chemical,Ferus soil,25-7-7,Grade 3,78.24,114.97,Grade 3,C,Grade 2,1459.73,High,1980s
Nepal,Rain,Natural canal,1st ratoon cane,Preemergent,Grade 3,Khonkean3,140 cm,Organic,Loam,15-15-15,Grade 2,33.45,378.46,Grade 1,C,Grade 3,2731.84,Low,2020s
Nepal,Rain,Groundwater,2nd ratoon cane,Preemergent,Grade 2,K84-200,120 cm,Chemical,Ferus soil,16-16-16,Grade 3,5.2,338.26,Grade 2,B,Grade 3,1854.49,High,1970s
Sri Lanka,Rain,Rain,2nd ratoon cane,Preemergent,Grade 3,Khonkean3,120 cm,Organic,Loam,15-15-15,Grade 2,84.88,303.9,Grade 3,B,Grade 2,2110.27,High,2010s
Bangladesh,Water pour,Rain,2nd ratoon cane,Preemergent,Grade 3,Khonkean3,130 cm,Chemical,Silty clay,15-15-15,Grade 3,12.75,363.71,Grade 1,A,Grade 1,2959.06,High,2010s
Pakistan,Water pour,Rain,3rd ratoon cane,Preemergent,Grade 1,K99-72,120 cm,Organic,Loam,25-7-7,Grade 1,98.06,361.06,Grade 3,C,Grade 1,2431.19,Low,1990s
Nepal,Rain,Natural canal,2nd ratoon cane,Preemergent,Grade 1,Khonkean3,150 cm,Chemical,Silty clay,25-7-7,Grade 3,73.38,57.83,Grade 2,A,Grade 3,2042.45,High,2000s
Sri Lanka,Water pour,Natural canal,2nd ratoon cane,Herbicide,Grade 1,LK92-11,120 cm,Chemical,Silty clay,46-0-0,Grade 2,52.41,299.63,Grade 1,C,Grade 2,803.63,Low,1990s
Pakistan,Water pour,Rain,3rd ratoon cane,Preemergent,Grade 2,Khonkean3,120 cm,Chemical,Ferus soil,16-16-16,Grade 2,65.04,250.08,Grade 2,A,Grade 2,2854.03,High,1990s
Pakistan,Water pour,Natural canal,1st ratoon cane,Preemergent,Grade 1,Khonkean3,140 cm,Organic,Loam,16-16-16,Grade 2,83.38,140.95,Grade 1,C,Grade 2,1914.8,High,1980s
Pakistan,Rain,Groundwater,2nd ratoon cane,Herbicide,Grade 3,K99-72,130 cm,Organic,Loam,25-7-7,Grade 1,82.97,80.27,Grade 1,C,Grade 1,1154.75,High,1970s
Bangladesh,Water pour,Groundwater,1st ratoon cane,Preemergent,Grade 1,K84-200,150 cm,Chemical,Ferus soil,25-7-7,Grade 2,7.89,156.76,Grade 2,C,Grade 3,1550.46,Low,2000s
Sri Lanka,Water pour,Groundwater,1st ratoon cane,Preemergent,Grade 3,LK92-11,120 cm,Organic,Ferus soil,25-7-7,Grade 1,6.1,426.98,Grade 2,B,Grade 1,1560.87,Low,2020s
Nepal,Rain,Natural canal,2nd ratoon cane,Preemergent,Grade 1,K99-72,120 cm,Chemical,Ferus soil,16-16-16,Grade 3,60.38,471.94,Grade 2,C,Grade 2,2833.44,Low,1970s
India,Rain,Natural canal,2nd ratoon cane,Preemergent,Grade 3,LK92-11,120 cm,Chemical,Ferus soil,15-15-15,Grade 3,6.02,471.18,Grade 3,C,Grade 2,2779.19,High,1980s
India,Water pour,Rain,3rd ratoon cane,Herbicide,Grade 2,K99-72,130 cm,Organic,Silty clay,25-7-7,Grade 3,91.65,257.07,Grade 2,B,Grade 3,2180.65,High,2000s
Bangladesh,Rain,Rain,2nd ratoon cane,Herbicide,Grade 3,K99-72,120 cm,Chemical,Loam,15-15-15,Grade 1,76.92,146.17,Grade 1,A,Grade 3,2173.8,Low,1980s
Bangladesh,Water pour,Natural canal,2nd ratoon cane,Herbicide,Grade 1,K99-72,130 cm,Organic,Loam,25-7-7,Grade 1,35.15,424.93,Grade 2,B,Grade 1,871.2,High,2000s
Bangladesh,Rain,Groundwater,1st ratoon cane,Preemergent,Grade 1,K99-72,140 cm,Chemical,Ferus soil,15-15-15,Grade 2,24.67,230.58,Grade 2,A,Grade 1,680.29,High,1980s
India,Rain,Rain,2nd ratoon cane,Herbicide,Grade 2,K99-72,150 cm,Chemical,Silty clay,25-7-7,Grade 2,47.34,83.59,Grade 3,B,Grade 3,1878.75,Low,1990s
Nepal,Rain,Rain,1st ratoon cane,Preemergent,Grade 3,K99-72,130 cm,Organic,Silty clay,25-7-7,Grade 2,80.93,200.7,Grade 3,A,Grade 3,1641.68,Low,1980s
Nepal,Water pour,Natural canal,2nd ratoon cane,Herbicide,Grade 1,K99-72,150 cm,Organic,Silty clay,25-7-7,Grade 3,29.13,63.84,Grade 1,A,Grade 3,805.1,Low,1990s
Pakistan,Water pour,Rain,2nd ratoon cane,Preemergent,Grade 2,Khonkean3,150 cm,Chemical,Loam,46-0-0,Grade 2,41.49,76.37,Grade 3,B,Grade 3,2820.33,High,2010s
Pakistan,Water pour,Groundwater,3rd ratoon cane,Preemergent,Grade 2,K84-200,120 cm,Chemical,Loam,46-0-0,Grade 3,36.69,372.64,Grade 2,A,Grade 1,1588.84,Low,2000s
Sri Lanka,Rain,Rain,3rd ratoon cane,Herbicide,Grade 3,K84-200,120 cm,Chemical,Silty clay,25-7-7,Grade 3,79.38,418.15,Grade 3,A,Grade 1,2513.61,Low,2000s
Sri Lanka,Rain,Rain,2nd ratoon cane,Herbicide,Grade 3,Khonkean3,130 cm,Organic,Silty clay,25-7-7,Grade 2,64.26,128.5,Grade 2,B,Grade 2,2451.13,Low,1970s
Sri Lanka,Rain,Natural canal,3rd ratoon cane,Herbicide,Grade 3,K84-200,130 cm,Chemical,Loam,46-0-0,Grade 3,22.48,319.46,Grade 1,A,Grade 2,2488.11,High,2010s
Nepal,Water pour,Groundwater,1st ratoon cane,Herbicide,Grade 3,LK92-11,120 cm,Organic,Ferus soil,15-15-15,Grade 2,37.92,110.22,Grade 2,A,Grade 2,1151.28,Low,2020s
India,Water pour,Natural canal,3rd ratoon cane,Preemergent,Grade 2,K84-200,150 cm,Chemical,Ferus soil,25-7-7,Grade 1,67.95,287.92,Grade 2,C,Grade 3,1805.02,High,2010s
