"","Year","Country","ActionWater","WaterType","Class_cane","Epidemic","YieldOldGrade","Type_Cane","GrooveWide","FertilizerType","TypeSoil","Fertilizer","TargetOldGrade","Yield","Area_Remain","ContractsArea","YieldGrade","FarmerContractGrade","TargetGrade","Rain_Avg"
"40363",1986,"Sri Lanka","Rain","Rain","1st ratoon cane","Herbicide","Grade 1","K84-200","140 cm","Organic","Loam","46-0-0","Grade 1",132.01,56.89,249.33,"Grade 1","B","Grade 3",798.71
"40364",1987,"Pakistan","Rain","Groundwater","3rd ratoon cane","Herbicide","Grade 2","Khonkean3","130 cm","Chemical","Silty clay","25-07-2007","Grade 1",72.06,31.12,247.73,"Grade 1","C","Grade 2",2795.23
"40366",1989,"Pakistan","Water pour","Groundwater","2nd ratoon cane","Herbicide","Grade 1","Khonkean3","140 cm","Chemical","Loam","46-0-0","Grade 1",93.94,95.37,322.91,"Grade 1","B","Grade 1",1903.85
"40367",1990,"Pakistan","Rain","Groundwater","2nd ratoon cane","Preemergent","Grade 1","K84-200","130 cm","Chemical","Loam","46-0-0","Grade 3",115.58,53.74,97.91,"Grade 2","B","Grade 2",2165.69
"40368",1991,"Bangladesh","Rain","Rain","3rd ratoon cane","Preemergent","Grade 3","Khonkean3","130 cm","Organic","Loam","15-15-15","Grade 3",55.35,49.77,119.26,"Grade 2","C","Grade 1",2818.14
"40369",1992,"Sri Lanka","Rain","Natural canal","2nd ratoon cane","Herbicide","Grade 3","LK92-11","140 cm","Chemical","Loam","46-0-0","Grade 2",165.43,14.84,471.45,"Grade 1","C","Grade 1",993.16
"40370",1993,"India","Rain","Groundwater","3rd ratoon cane","Preemergent","Grade 1","K84-200","140 cm","Organic","Silty clay","15-15-15","Grade 3",154.5,95.98,421.14,"Grade 1","C","Grade 2",2980.48
"40371",1994,"Bangladesh","Rain","Natural canal","3rd ratoon cane","Herbicide","Grade 3","Khonkean3","150 cm","Organic","Ferus soil","16-16-16","Grade 1",100.18,57.17,350.79,"Grade 2","A","Grade 3",603.42
"40372",1995,"India","Rain","Rain","2nd ratoon cane","Preemergent","Grade 2","K99-72","140 cm","Chemical","Ferus soil","46-0-0","Grade 2",198.98,94.23,360.76,"Grade 2","B","Grade 3",2132.89
"40373",1996,"Bangladesh","Water pour","Natural canal","1st ratoon cane","Herbicide","Grade 2","K84-200","150 cm","Chemical","Silty clay","15-15-15","Grade 2",129.11,97.15,116.1,"Grade 2","C","Grade 2",1995.89
"40374",1997,"Nepal","Water pour","Natural canal","3rd ratoon cane","Preemergent","Grade 3","LK92-11","140 cm","Organic","Silty clay","15-15-15","Grade 2",149.15,83.57,41.46,"Grade 1","C","Grade 3",882.94
"40375",1998,"Bangladesh","Water pour","Natural canal","1st ratoon cane","Herbicide","Grade 2","K99-72","120 cm","Organic","Loam","15-15-15","Grade 2",62.46,87.41,426.83,"Grade 3","A","Grade 2",1400.95
"40376",1999,"Nepal","Water pour","Groundwater","2nd ratoon cane","Herbicide","Grade 2","LK92-11","130 cm","Chemical","Ferus soil","25-07-2007","Grade 3",76.49,65.11,265.73,"Grade 3","A","Grade 3",2816.72
"40377",2000,"Nepal","Rain","Natural canal","3rd ratoon cane","Preemergent","Grade 1","K84-200","120 cm","Chemical","Silty clay","25-07-2007","Grade 3",139.94,32.55,143.22,"Grade 3","B","Grade 3",990.11
"40379",2002,"Sri Lanka","Water pour","Natural canal","1st ratoon cane","Herbicide","Grade 2","K99-72","120 cm","Chemical","Loam","15-15-15","Grade 3",166,47.19,149.43,"Grade 1","B","Grade 1",2282.08
"40380",2003,"Nepal","Water pour","Natural canal","3rd ratoon cane","Herbicide","Grade 2","Khonkean3","130 cm","Chemical","Silty clay","15-15-15","Grade 1",54.57,37.64,137.23,"Grade 2","C","Grade 3",1465.52
"40381",2004,"Pakistan","Rain","Natural canal","3rd ratoon cane","Herbicide","Grade 3","Khonkean3","140 cm","Organic","Silty clay","16-16-16","Grade 3",107.47,57.69,163.41,"Grade 1","A","Grade 3",2411.61
"40382",2005,"Bangladesh","Rain","Rain","2nd ratoon cane","Herbicide","Grade 3","K84-200","150 cm","Chemical","Loam","46-0-0","Grade 1",159.61,72.07,257.56,"Grade 2","C","Grade 2",2758.28
"40383",2006,"India","Water pour","Natural canal","1st ratoon cane","Preemergent","Grade 1","K84-200","150 cm","Chemical","Silty clay","15-15-15","Grade 1",105.08,58.81,447.68,"Grade 2","C","Grade 1",1990.61
"40384",2007,"Sri Lanka","Rain","Natural canal","1st ratoon cane","Preemergent","Grade 2","K84-200","150 cm","Organic","Silty clay","46-0-0","Grade 1",83.01,80.39,358.56,"Grade 3","B","Grade 3",1215
"40386",2009,"Bangladesh","Rain","Natural canal","3rd ratoon cane","Herbicide","Grade 3","K84-200","130 cm","Organic","Silty clay","15-15-15","Grade 2",66.98,22.02,195.06,"Grade 3","C","Grade 3",2061.24
"40387",2010,"India","Water pour","Natural canal","2nd ratoon cane","Herbicide","Grade 2","K99-72","140 cm","Chemical","Loam","25-07-2007","Grade 1",196.92,17.57,430.54,"Grade 3","C","Grade 2",1344.94
"40390",2013,"Nepal","Water pour","Rain","1st ratoon cane","Preemergent","Grade 2","K84-200","140 cm","Chemical","Loam","25-07-2007","Grade 1",160.74,80.29,343.91,"Grade 1","C","Grade 2",1829.16
"40391",2014,"India","Water pour","Groundwater","3rd ratoon cane","Preemergent","Grade 3","K84-200","130 cm","Chemical","Ferus soil","16-16-16","Grade 2",140.12,77.92,312.69,"Grade 1","B","Grade 1",2532.71
"40392",2015,"India","Rain","Natural canal","3rd ratoon cane","Preemergent","Grade 3","LK92-11","150 cm","Organic","Loam","15-15-15","Grade 3",118.33,20.8,199.99,"Grade 3","C","Grade 2",2536.1
"40394",2017,"Nepal","Water pour","Groundwater","2nd ratoon cane","Herbicide","Grade 3","K84-200","120 cm","Chemical","Loam","16-16-16","Grade 1",142.32,68.68,29.03,"Grade 2","B","Grade 3",2121.09
"40395",2018,"Sri Lanka","Rain","Groundwater","3rd ratoon cane","Herbicide","Grade 1","K99-72","150 cm","Organic","Loam","15-15-15","Grade 3",179.79,30.41,393.62,"Grade 3","C","Grade 2",685.41
"40396",2019,"Bangladesh","Water pour","Groundwater","2nd ratoon cane","Herbicide","Grade 3","Khonkean3","130 cm","Organic","Loam","25-07-2007","Grade 3",57.24,18.89,369.88,"Grade 2","C","Grade 1",1343.87
"40397",2020,"Nepal","Rain","Groundwater","3rd ratoon cane","Herbicide","Grade 3","Khonkean3","150 cm","Organic","Silty clay","15-15-15","Grade 2",64.36,62.78,41.71,"Grade 2","A","Grade 2",1629.34
"40398",2021,"India","Rain","Rain","1st ratoon cane","Preemergent","Grade 2","K99-72","130 cm","Organic","Loam","46-0-0","Grade 3",127.6,11.91,67.25,"Grade 2","C","Grade 3",830.05
"40399",2022,"India","Rain","Rain","1st ratoon cane","Herbicide","Grade 3","LK92-11","130 cm","Chemical","Silty clay","46-0-0","Grade 3",91.37,72.29,209.37,"Grade 3","B","Grade 1",529.46
"40400",2023,"Sri Lanka","Water pour","Rain","3rd ratoon cane","Herbicide","Grade 2","Khonkean3","150 cm","Organic","Ferus soil","15-15-15","Grade 3",50.58,85.56,80.7,"Grade 1","B","Grade 2",669.7
"40401",1974,"India","Rain","Groundwater","2nd ratoon cane","Preemergent","Grade 3","LK92-11","120 cm","Organic","Silty clay","25-07-2007","Grade 2",157.39,80.31,456.32,"Grade 2","B","Grade 2",2344.81
"40403",1976,"Pakistan","Water pour","Natural canal","2nd ratoon cane","Preemergent","Grade 3","K99-72","130 cm","Organic","Ferus soil","25-07-2007","Grade 3",63.54,86.63,283.77,"Grade 2","B","Grade 1",787.11
"40404",1977,"Sri Lanka","Rain","Rain","3rd ratoon cane","Preemergent","Grade 2","LK92-11","120 cm","Organic","Ferus soil","25-07-2007","Grade 2",131.56,84.34,289.02,"Grade 1","C","Grade 2",515.49
"40405",1978,"India","Water pour","Natural canal","3rd ratoon cane","Preemergent","Grade 3","K84-200","120 cm","Chemical","Loam","15-15-15","Grade 2",160.44,22.69,57.62,"Grade 1","B","Grade 2",617.88
"40406",1979,"Sri Lanka","Water pour","Natural canal","1st ratoon cane","Preemergent","Grade 1","Khonkean3","140 cm","Chemical","Silty clay","46-0-0","Grade 1",131.62,38.52,144.64,"Grade 3","C","Grade 1",2514.77
"40407",1980,"Sri Lanka","Rain","Groundwater","2nd ratoon cane","Herbicide","Grade 2","K84-200","120 cm","Organic","Loam","25-07-2007","Grade 2",152.55,66.15,428.94,"Grade 2","A","Grade 3",2779.69
"40408",1981,"Nepal","Water pour","Natural canal","3rd ratoon cane","Herbicide","Grade 2","K99-72","150 cm","Organic","Ferus soil","16-16-16","Grade 2",150.06,5.48,69.16,"Grade 1","C","Grade 1",1879.06
"40409",1982,"Sri Lanka","Water pour","Natural canal","2nd ratoon cane","Preemergent","Grade 3","K99-72","150 cm","Chemical","Silty clay","16-16-16","Grade 3",76.13,45.53,289.57,"Grade 3","B","Grade 1",2532.31
"40410",1983,"Nepal","Rain","Natural canal","1st ratoon cane","Preemergent","Grade 2","LK92-11","120 cm","Organic","Ferus soil","16-16-16","Grade 3",152.23,66.18,78.56,"Grade 2","C","Grade 3",1346.71
"40412",1985,"Pakistan","Water pour","Groundwater","3rd ratoon cane","Herbicide","Grade 2","K99-72","140 cm","Chemical","Ferus soil","15-15-15","Grade 2",111.07,72.59,495.05,"Grade 3","C","Grade 1",1238.2
"40415",1988,"Nepal","Water pour","Natural canal","3rd ratoon cane","Preemergent","Grade 1","LK92-11","150 cm","Organic","Silty clay","25-07-2007","Grade 3",161.87,77.4,435.79,"Grade 3","A","Grade 2",1020.12
"40417",1990,"Bangladesh","Rain","Groundwater","3rd ratoon cane","Preemergent","Grade 3","K84-200","130 cm","Chemical","Ferus soil","15-15-15","Grade 1",153.25,6.72,145.76,"Grade 1","A","Grade 2",740.04
"40418",1991,"India","Water pour","Rain","1st ratoon cane","Herbicide","Grade 1","LK92-11","120 cm","Chemical","Loam","46-0-0","Grade 2",95.62,27.04,118.23,"Grade 3","A","Grade 3",2446.24
"40419",1992,"Bangladesh","Water pour","Groundwater","1st ratoon cane","Preemergent","Grade 2","LK92-11","140 cm","Chemical","Loam","15-15-15","Grade 1",50.42,71.74,172.88,"Grade 3","B","Grade 3",1415.2
"40420",1993,"India","Water pour","Natural canal","3rd ratoon cane","Preemergent","Grade 2","K84-200","140 cm","Organic","Silty clay","25-07-2007","Grade 2",159.88,30.52,328.39,"Grade 1","A","Grade 3",2806.55
"40421",1994,"Nepal","Water pour","Natural canal","3rd ratoon cane","Herbicide","Grade 1","Khonkean3","140 cm","Organic","Ferus soil","25-07-2007","Grade 3",70.18,38.76,497.25,"Grade 3","C","Grade 2",2284.02
"40423",1996,"Sri Lanka","Rain","Natural canal","3rd ratoon cane","Herbicide","Grade 1","K99-72","150 cm","Chemical","Silty clay","16-16-16","Grade 2",171.75,91.27,359.82,"Grade 1","A","Grade 2",2598.89
"40424",1997,"Pakistan","Water pour","Rain","2nd ratoon cane","Herbicide","Grade 1","K99-72","140 cm","Chemical","Loam","15-15-15","Grade 3",190.78,59.74,466.58,"Grade 1","C","Grade 2",887.33
"40425",1998,"Sri Lanka","Rain","Groundwater","3rd ratoon cane","Herbicide","Grade 2","K84-200","150 cm","Chemical","Loam","15-15-15","Grade 1",75.36,11.7,167.07,"Grade 1","C","Grade 2",1349.6
"40426",1999,"Bangladesh","Rain","Rain","2nd ratoon cane","Preemergent","Grade 3","K84-200","130 cm","Chemical","Loam","16-16-16","Grade 3",75.44,72.88,284.47,"Grade 2","C","Grade 2",2755.99
"40429",2002,"India","Rain","Groundwater","1st ratoon cane","Herbicide","Grade 1","K99-72","130 cm","Organic","Loam","15-15-15","Grade 1",173.04,44.81,286.03,"Grade 1","B","Grade 1",912.16
"40431",2004,"Bangladesh","Water pour","Rain","3rd ratoon cane","Preemergent","Grade 3","Khonkean3","140 cm","Organic","Loam","25-07-2007","Grade 3",64.86,46.7,448.8,"Grade 2","C","Grade 1",1534.8
"40433",2006,"Sri Lanka","Rain","Rain","1st ratoon cane","Preemergent","Grade 3","K99-72","130 cm","Chemical","Ferus soil","46-0-0","Grade 2",98.51,53.61,294.38,"Grade 3","A","Grade 1",792.98
"40434",2007,"Sri Lanka","Water pour","Rain","3rd ratoon cane","Preemergent","Grade 2","K84-200","140 cm","Organic","Loam","15-15-15","Grade 1",97.44,77.07,385.92,"Grade 2","B","Grade 3",2439.27
"40435",2008,"Pakistan","Rain","Natural canal","2nd ratoon cane","Herbicide","Grade 2","LK92-11","130 cm","Chemical","Ferus soil","46-0-0","Grade 3",118.02,95.3,91.64,"Grade 1","A","Grade 3",1122.31
"40436",2009,"India","Rain","Rain","3rd ratoon cane","Preemergent","Grade 2","Khonkean3","120 cm","Organic","Silty clay","25-07-2007","Grade 3",132.66,72.14,189.64,"Grade 2","C","Grade 2",1391.36
"40437",2010,"Nepal","Water pour","Natural canal","1st ratoon cane","Preemergent","Grade 3","K84-200","150 cm","Chemical","Loam","16-16-16","Grade 2",77.96,7.84,496.26,"Grade 3","B","Grade 1",2529.68
"40438",2011,"Sri Lanka","Water pour","Groundwater","3rd ratoon cane","Herbicide","Grade 2","K84-200","120 cm","Chemical","Ferus soil","16-16-16","Grade 2",133.05,6.68,471.03,"Grade 2","B","Grade 2",1299.96
"40439",2012,"Bangladesh","Water pour","Natural canal","3rd ratoon cane","Preemergent","Grade 1","K84-200","120 cm","Chemical","Silty clay","15-15-15","Grade 1",54.59,83.36,313.21,"Grade 1","A","Grade 1",1858.11
"40440",2013,"Sri Lanka","Water pour","Natural canal","1st ratoon cane","Herbicide","Grade 3","K99-72","120 cm","Chemical","Ferus soil","15-15-15","Grade 2",173.52,48.53,127.63,"Grade 2","A","Grade 2",2784.63
"40443",2016,"Bangladesh","Water pour","Groundwater","1st ratoon cane","Herbicide","Grade 3","Khonkean3","120 cm","Organic","Ferus soil","46-0-0","Grade 2",99.58,42.54,52.55,"Grade 1","C","Grade 1",1871.87
"40444",2017,"India","Water pour","Groundwater","3rd ratoon cane","Herbicide","Grade 3","K99-72","140 cm","Organic","Loam","16-16-16","Grade 3",168.31,23.05,475.8,"Grade 2","B","Grade 2",2034.28
"40445",2018,"Pakistan","Water pour","Rain","1st ratoon cane","Preemergent","Grade 3","K99-72","120 cm","Chemical","Ferus soil","16-16-16","Grade 2",132.73,19.35,326.89,"Grade 2","B","Grade 3",2667.72
"40446",2019,"Pakistan","Rain","Groundwater","2nd ratoon cane","Herbicide","Grade 2","LK92-11","130 cm","Chemical","Ferus soil","15-15-15","Grade 2",66.86,75.7,210.24,"Grade 3","A","Grade 2",1159.31
"40447",2020,"Nepal","Water pour","Rain","3rd ratoon cane","Herbicide","Grade 3","Khonkean3","130 cm","Chemical","Ferus soil","15-15-15","Grade 3",93.17,27.33,79.45,"Grade 3","A","Grade 3",2141.81
"40448",2021,"Sri Lanka","Water pour","Natural canal","3rd ratoon cane","Preemergent","Grade 1","LK92-11","120 cm","Organic","Ferus soil","16-16-16","Grade 2",104.11,55.28,322.37,"Grade 3","C","Grade 3",1206.47
"40452",1975,"India","Water pour","Natural canal","3rd ratoon cane","Herbicide","Grade 1","K99-72","140 cm","Organic","Silty clay","16-16-16","Grade 3",84.06,10.92,448.73,"Grade 2","B","Grade 1",2678.67
"40454",1977,"Nepal","Water pour","Rain","3rd ratoon cane","Preemergent","Grade 1","K99-72","150 cm","Organic","Ferus soil","46-0-0","Grade 3",143.04,95.29,228.7,"Grade 1","A","Grade 3",1168.77
"40455",1978,"Sri Lanka","Water pour","Natural canal","3rd ratoon cane","Preemergent","Grade 1","Khonkean3","140 cm","Organic","Loam","15-15-15","Grade 3",155.85,71.15,164.05,"Grade 1","C","Grade 1",2368.39
"40456",1979,"Bangladesh","Rain","Groundwater","2nd ratoon cane","Preemergent","Grade 1","K84-200","150 cm","Organic","Loam","15-15-15","Grade 1",146.12,54.83,194.69,"Grade 3","A","Grade 1",1008.58
"40457",1980,"Nepal","Water pour","Groundwater","2nd ratoon cane","Herbicide","Grade 1","K99-72","140 cm","Organic","Ferus soil","15-15-15","Grade 3",102.12,60.05,149.27,"Grade 2","C","Grade 1",510.08
"40458",1981,"Nepal","Water pour","Groundwater","1st ratoon cane","Preemergent","Grade 3","Khonkean3","120 cm","Organic","Silty clay","46-0-0","Grade 3",188.55,33.22,412.77,"Grade 2","C","Grade 2",1725.63
"40460",1983,"Sri Lanka","Water pour","Rain","3rd ratoon cane","Herbicide","Grade 2","K84-200","140 cm","Organic","Loam","46-0-0","Grade 2",117.68,6.78,150.45,"Grade 1","C","Grade 1",2964.57
"40461",1984,"India","Water pour","Groundwater","3rd ratoon cane","Herbicide","Grade 1","LK92-11","140 cm","Chemical","Loam","46-0-0","Grade 3",136.76,23.19,176.45,"Grade 1","B","Grade 3",2665.47
"40462",1985,"Sri Lanka","Rain","Groundwater","2nd ratoon cane","Preemergent","Grade 3","LK92-11","140 cm","Chemical","Ferus soil","16-16-16","Grade 1",57.18,53.42,253.82,"Grade 3","B","Grade 2",2320.55
"40463",1986,"Pakistan","Rain","Groundwater","2nd ratoon cane","Herbicide","Grade 1","LK92-11","140 cm","Organic","Silty clay","15-15-15","Grade 1",123.94,88.21,64.34,"Grade 2","B","Grade 3",1750.52
"40464",1987,"Nepal","Water pour","Groundwater","2nd ratoon cane","Preemergent","Grade 1","Khonkean3","150 cm","Chemical","Silty clay","16-16-16","Grade 1",126.41,54.32,128.24,"Grade 3","A","Grade 2",1373.25
"40465",1988,"Pakistan","Rain","Rain","1st ratoon cane","Preemergent","Grade 2","K84-200","120 cm","Chemical","Silty clay","16-16-16","Grade 2",86.73,40.72,245.25,"Grade 2","A","Grade 1",1155.22
"40466",1989,"Bangladesh","Rain","Rain","1st ratoon cane","Preemergent","Grade 1","Khonkean3","140 cm","Chemical","Ferus soil","16-16-16","Grade 1",89.9,37.2,162.51,"Grade 2","A","Grade 2",2243.24
"40467",1990,"Pakistan","Water pour","Rain","3rd ratoon cane","Preemergent","Grade 2","Khonkean3","120 cm","Organic","Silty clay","46-0-0","Grade 3",52.45,36.47,164.77,"Grade 3","B","Grade 3",2148.96
"40469",1992,"Sri Lanka","Water pour","Rain","2nd ratoon cane","Preemergent","Grade 3","K99-72","120 cm","Organic","Silty clay","15-15-15","Grade 2",124.8,83.1,368.8,"Grade 3","B","Grade 1",2307.83
"40470",1993,"India","Water pour","Groundwater","3rd ratoon cane","Herbicide","Grade 1","K99-72","150 cm","Chemical","Silty clay","46-0-0","Grade 2",115.43,31.87,485.47,"Grade 2","B","Grade 2",842.89
"40471",1994,"Nepal","Water pour","Natural canal","1st ratoon cane","Preemergent","Grade 3","K84-200","130 cm","Chemical","Ferus soil","46-0-0","Grade 1",198.13,33.91,123.3,"Grade 2","C","Grade 2",2525.76
"40472",1995,"India","Rain","Rain","1st ratoon cane","Preemergent","Grade 1","Khonkean3","150 cm","Organic","Loam","15-15-15","Grade 3",170.4,56.45,120.2,"Grade 1","A","Grade 1",671.18
"40474",1997,"Bangladesh","Rain","Rain","1st ratoon cane","Preemergent","Grade 1","K99-72","130 cm","Organic","Loam","46-0-0","Grade 2",178.35,70.16,46.17,"Grade 2","B","Grade 1",2717.29
"40475",1998,"Bangladesh","Rain","Natural canal","2nd ratoon cane","Preemergent","Grade 1","Khonkean3","130 cm","Chemical","Loam","15-15-15","Grade 2",86.53,19.21,340,"Grade 2","A","Grade 3",1246.77
"40476",1999,"Nepal","Rain","Rain","1st ratoon cane","Herbicide","Grade 3","K84-200","150 cm","Organic","Silty clay","16-16-16","Grade 3",169.58,15.44,226.1,"Grade 2","A","Grade 2",1670.44
"40477",2000,"Sri Lanka","Water pour","Rain","3rd ratoon cane","Preemergent","Grade 3","LK92-11","120 cm","Chemical","Silty clay","25-07-2007","Grade 2",120.11,89.22,97.2,"Grade 2","A","Grade 3",1399.38
"40478",2001,"India","Rain","Groundwater","3rd ratoon cane","Herbicide","Grade 2","K84-200","150 cm","Organic","Silty clay","16-16-16","Grade 2",69.91,92.9,487.98,"Grade 1","B","Grade 2",2142.82
"40479",2002,"Sri Lanka","Rain","Natural canal","3rd ratoon cane","Preemergent","Grade 3","K99-72","130 cm","Chemical","Ferus soil","46-0-0","Grade 3",188.22,44.57,16.91,"Grade 1","C","Grade 3",2816.17
"40480",2003,"Sri Lanka","Water pour","Natural canal","1st ratoon cane","Herbicide","Grade 2","LK92-11","140 cm","Organic","Silty clay","25-07-2007","Grade 2",144.49,19.58,479.24,"Grade 3","B","Grade 3",984.2
"40481",2004,"Sri Lanka","Rain","Rain","2nd ratoon cane","Preemergent","Grade 3","LK92-11","130 cm","Organic","Loam","46-0-0","Grade 3",51.94,15.64,384.85,"Grade 3","B","Grade 2",2530.97
"40483",2006,"Nepal","Rain","Rain","1st ratoon cane","Preemergent","Grade 2","LK92-11","140 cm","Organic","Loam","15-15-15","Grade 3",173.89,62.54,144.16,"Grade 3","A","Grade 2",1313.07
"40484",2007,"Bangladesh","Rain","Rain","1st ratoon cane","Preemergent","Grade 3","K84-200","130 cm","Chemical","Ferus soil","16-16-16","Grade 2",107.12,53,104.04,"Grade 1","A","Grade 1",876.97
"40485",2008,"Nepal","Water pour","Natural canal","2nd ratoon cane","Herbicide","Grade 2","LK92-11","120 cm","Chemical","Silty clay","15-15-15","Grade 3",55.44,27,414.29,"Grade 1","A","Grade 3",2639.37
"40487",2010,"Pakistan","Water pour","Rain","1st ratoon cane","Preemergent","Grade 1","K84-200","140 cm","Chemical","Silty clay","16-16-16","Grade 1",181.54,53.81,221.76,"Grade 1","A","Grade 2",2696.76
"40488",2011,"India","Water pour","Rain","3rd ratoon cane","Herbicide","Grade 1","LK92-11","130 cm","Chemical","Silty clay","25-07-2007","Grade 2",184.27,39.14,284.13,"Grade 2","B","Grade 3",2585.03
"40489",2012,"Pakistan","Water pour","Rain","3rd ratoon cane","Herbicide","Grade 1","K99-72","130 cm","Chemical","Silty clay","16-16-16","Grade 3",161.69,38.43,494.88,"Grade 1","C","Grade 3",2591.76
"40490",2013,"Nepal","Water pour","Groundwater","1st ratoon cane","Preemergent","Grade 1","K99-72","120 cm","Organic","Silty clay","46-0-0","Grade 1",86.4,11.84,306.51,"Grade 1","C","Grade 2",887.61
"40494",2017,"Sri Lanka","Water pour","Groundwater","2nd ratoon cane","Preemergent","Grade 2","LK92-11","130 cm","Chemical","Ferus soil","15-15-15","Grade 2",144.22,9.33,29.38,"Grade 2","B","Grade 3",1041.72
"40497",2020,"Nepal","Water pour","Rain","1st ratoon cane","Herbicide","Grade 1","K84-200","120 cm","Organic","Silty clay","25-07-2007","Grade 2",91.85,66.74,387.7,"Grade 3","C","Grade 2",2214.97
"40498",2021,"Sri Lanka","Water pour","Natural canal","3rd ratoon cane","Preemergent","Grade 3","K99-72","130 cm","Chemical","Loam","25-07-2007","Grade 1",156.98,94.14,448.04,"Grade 2","C","Grade 2",1014.45
"40500",2023,"Bangladesh","Water pour","Groundwater","3rd ratoon cane","Preemergent","Grade 2","Khonkean3","120 cm","Organic","Ferus soil","25-07-2007","Grade 2",144.63,96.4,93.85,"Grade 3","C","Grade 1",2219.67
"40501",1974,"Bangladesh","Rain","Natural canal","2nd ratoon cane","Preemergent","Grade 2","K84-200","150 cm","Organic","Loam","25-07-2007","Grade 2",197.81,61.44,79.27,"Grade 1","B","Grade 1",787.17
"40502",1975,"Sri Lanka","Water pour","Groundwater","3rd ratoon cane","Preemergent","Grade 1","K99-72","130 cm","Chemical","Silty clay","46-0-0","Grade 3",66.54,94.58,284.73,"Grade 3","C","Grade 2",526.12
"40504",1977,"Sri Lanka","Rain","Groundwater","2nd ratoon cane","Preemergent","Grade 2","Khonkean3","120 cm","Organic","Loam","15-15-15","Grade 1",150.64,94,386.97,"Grade 3","C","Grade 3",502.85
"40505",1978,"Sri Lanka","Water pour","Rain","1st ratoon cane","Herbicide","Grade 2","K99-72","150 cm","Organic","Silty clay","16-16-16","Grade 1",55.14,58.9,125.2,"Grade 2","C","Grade 3",1502.2
"40506",1979,"Sri Lanka","Water pour","Natural canal","1st ratoon cane","Herbicide","Grade 1","K99-72","140 cm","Organic","Ferus soil","46-0-0","Grade 3",83.5,49.03,124.39,"Grade 1","A","Grade 3",1354.52
"40507",1980,"Nepal","Water pour","Groundwater","1st ratoon cane","Herbicide","Grade 1","K84-200","130 cm","Chemical","Silty clay","25-07-2007","Grade 1",105.33,17.23,426.18,"Grade 1","B","Grade 2",1949.87
"40508",1981,"Sri Lanka","Rain","Rain","3rd ratoon cane","Preemergent","Grade 1","LK92-11","130 cm","Chemical","Silty clay","46-0-0","Grade 1",159.2,6.31,93.41,"Grade 2","A","Grade 3",852.65
"40509",1982,"Bangladesh","Water pour","Groundwater","3rd ratoon cane","Herbicide","Grade 2","LK92-11","150 cm","Organic","Loam","25-07-2007","Grade 2",64.11,81.82,76.16,"Grade 2","B","Grade 3",1957.05
"40510",1983,"Bangladesh","Water pour","Groundwater","2nd ratoon cane","Herbicide","Grade 2","K99-72","150 cm","Chemical","Ferus soil","25-07-2007","Grade 1",166.33,81.21,227.11,"Grade 1","C","Grade 3",2250.42
"40511",1984,"Bangladesh","Rain","Natural canal","3rd ratoon cane","Preemergent","Grade 3","K84-200","140 cm","Chemical","Loam","16-16-16","Grade 3",80.34,65.2,61.07,"Grade 2","B","Grade 2",1369.37
"40512",1985,"Nepal","Rain","Natural canal","2nd ratoon cane","Herbicide","Grade 1","K84-200","120 cm","Chemical","Ferus soil","16-16-16","Grade 2",64.06,29.58,437.5,"Grade 1","A","Grade 1",2304.65
"40513",1986,"Pakistan","Rain","Rain","1st ratoon cane","Herbicide","Grade 1","K99-72","130 cm","Chemical","Silty clay","46-0-0","Grade 3",103.51,31.47,345.08,"Grade 1","A","Grade 3",1026.84
"40514",1987,"Pakistan","Rain","Natural canal","3rd ratoon cane","Preemergent","Grade 3","LK92-11","120 cm","Organic","Loam","25-07-2007","Grade 3",139,45.62,438.91,"Grade 3","C","Grade 1",1544.93
"40515",1988,"Sri Lanka","Water pour","Groundwater","1st ratoon cane","Preemergent","Grade 1","K99-72","140 cm","Chemical","Silty clay","46-0-0","Grade 2",106.37,94.42,116.45,"Grade 1","B","Grade 1",2756.7
"40516",1989,"Nepal","Rain","Natural canal","3rd ratoon cane","Preemergent","Grade 3","K99-72","140 cm","Chemical","Loam","16-16-16","Grade 2",192.68,90.22,116.3,"Grade 2","B","Grade 2",2422.36
"40517",1990,"Pakistan","Rain","Natural canal","1st ratoon cane","Herbicide","Grade 1","K99-72","130 cm","Chemical","Ferus soil","46-0-0","Grade 3",146.92,6.63,268.11,"Grade 2","A","Grade 2",2875.4
"40518",1991,"Nepal","Rain","Rain","1st ratoon cane","Herbicide","Grade 2","Khonkean3","140 cm","Chemical","Loam","16-16-16","Grade 1",109.42,53.83,252.52,"Grade 3","C","Grade 2",533.65
"40519",1992,"Nepal","Water pour","Rain","3rd ratoon cane","Preemergent","Grade 3","K84-200","120 cm","Chemical","Loam","46-0-0","Grade 3",74.14,29.79,46.33,"Grade 3","A","Grade 2",682.84
"40520",1993,"Pakistan","Rain","Groundwater","3rd ratoon cane","Preemergent","Grade 3","LK92-11","120 cm","Chemical","Ferus soil","15-15-15","Grade 1",156.88,36.16,115.46,"Grade 3","C","Grade 3",1121.73
"40521",1994,"Bangladesh","Rain","Natural canal","3rd ratoon cane","Herbicide","Grade 3","K84-200","130 cm","Chemical","Ferus soil","25-07-2007","Grade 1",52.58,18.88,79.47,"Grade 1","C","Grade 3",2921.75
"40523",1996,"Pakistan","Rain","Groundwater","1st ratoon cane","Herbicide","Grade 3","Khonkean3","120 cm","Organic","Silty clay","16-16-16","Grade 1",188.05,90.78,187.73,"Grade 2","C","Grade 3",1319.88
